"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","direccion","director","rank_total"
"120","""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""",23,23,NA,23,4,1,1,1,NA,1,1,"","","festival",1,"ABRIL",64,64,NA,"",NA,120
"121","EXODO",19,19,NA,19,2,1,1,1,NA,1,1,"ALEMANIA","EUROPA","pelicula",1,"ABRIL",66,66,NA,"hombre","CO-GUIONISTA",121
"122","JESÚS LÓPEZ",16,16,NA,16,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",67,67,NA,"hombre","CO-GUIONISTA",122
"123","LA ENCOMIENDA",15,15,NA,15,7,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",68,68,NA,"hombre","CO-GUIONISTA",123
"124","""FUNDACION COLUMBIA MAR-MAY""",14,6,6,2,5,1,3,1,1,1,3,"","","festival",1,"ABRIL",68,76,77,"",NA,124
"125","MILAGRO DE OTOÑO",13,13,NA,13,11,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",63,63,NA,"hombre","CO-GUIONISTA",125
"126","ESTRENO DOCUMENTAL EL MISMO RIO",10,10,NA,10,2,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",69,69,NA,"hombre","GUIONISTA",126
"127","HUSEK",8,8,NA,8,7,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",66,66,NA,"mujer","CO-GUIONISTA",127
"128","ANUNCIAN SISMOS",7,7,NA,7,6,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",76,76,NA,"mujer","GUIONISTA",128
"129","EL MAESTRO",7,7,NA,7,5,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",71,71,NA,"mixto","CO-GUIONISTA",129
"130","FIDEL NIÑO VALIENTE",4,4,NA,4,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",66,66,NA,"hombre","GUIONISTA",130
"131","EL CUENTO DEL TIO",3,3,NA,3,11,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",78,78,NA,"hombre","GUIONISTA",131
"132","NIDO",3,3,NA,3,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",74,74,NA,"hombre","GUIONISTA",132
"133","A LOS NIÑOS LA BELLEZA",2,2,NA,2,5,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",75,75,NA,"mujer","CO-GUIONISTA",133
